Device Model,Operating System,App Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Age,Gender,User Behavior Class
0,0,393,6.4,1872,67,1122,40,1,4
1,0,268,4.7,1331,42,944,47,0,3
2,0,154,4.0,761,32,322,42,1,2
0,0,239,4.8,1676,56,871,20,1,3
3,1,187,4.3,1367,58,988,31,0,3
0,0,99,2.0,940,35,564,31,1,2
4,0,350,7.3,1802,66,1054,21,0,4
1,0,543,11.4,2956,82,1702,31,1,5
4,0,340,7.7,2138,75,1053,42,0,4
3,1,424,6.6,1957,75,1301,42,1,4
0,0,53,1.4,435,17,162,34,0,1
1,0,215,5.5,1690,47,641,24,1,3
1,0,462,6.2,2303,65,1099,57,0,4
2,0,215,4.9,1662,43,857,43,1,3
3,1,189,5.4,1754,53,779,49,0,3
0,0,503,10.4,2571,84,2025,39,0,5
1,0,132,3.6,628,32,344,47,0,2
3,1,299,5.8,1431,41,985,44,0,3
0,0,81,1.4,558,16,297,26,0,1
3,1,577,8.5,2774,89,2192,29,0,5
4,0,93,2.6,681,37,302,45,0,2
1,0,576,11.6,2803,82,1553,43,0,5
4,0,423,6.5,2094,65,1372,23,0,4
0,0,292,5.6,1401,46,949,37,0,3
1,0,216,4.0,1711,59,748,58,1,3
4,0,91,3.4,1073,38,451,52,1,2
3,1,444,7.6,2372,77,1002,29,1,4
0,0,512,10.5,2409,89,1599,33,1,5
1,0,452,6.8,2387,77,1456,55,0,4
4,0,412,6.2,1899,78,1384,19,0,4
2,0,260,6.0,1361,44,889,37,0,3
2,0,197,4.6,1660,59,975,25,1,3
0,0,278,4.7,1484,55,917,21,1,3
0,0,46,2.0,457,14,105,58,1,1
2,0,593,10.2,2499,81,1616,38,0,5
4,0,32,1.2,580,19,153,20,0,1
3,1,122,3.3,755,30,573,26,1,2
4,0,522,11.2,2808,93,2328,24,1,5
1,0,473,6.4,2312,74,1400,40,1,4
4,0,398,6.2,1851,77,1180,23,1,4
2,0,240,4.7,1464,52,708,56,0,3
1,0,576,10.1,2447,83,2323,33,1,5
4,0,120,2.1,720,39,392,43,1,2
4,0,152,3.7,993,32,429,18,1,2
2,0,138,2.4,837,21,572,56,0,2
2,0,502,10.9,2476,96,1935,39,1,5
1,0,558,8.4,2447,97,1594,22,0,5
4,0,138,3.6,889,25,323,27,0,2
0,0,580,8.2,2623,90,2262,49,1,5
1,0,589,8.7,2736,82,1997,49,1,5
2,0,452,7.4,2180,61,1417,54,0,4
2,0,245,5.9,1243,52,885,29,1,3
4,0,125,2.7,690,28,393,27,0,2
2,0,97,2.2,1101,38,375,53,1,2
0,0,516,8.7,2857,83,2189,53,0,5
3,1,68,1.6,450,14,111,30,1,1
1,0,64,1.1,572,10,161,42,0,1
1,0,539,8.4,2796,89,2415,26,1,5
2,0,428,7.0,2306,75,1144,22,1,4
3,1,325,7.1,2269,64,1053,56,1,4
2,0,522,11.9,2798,85,1663,28,0,5
2,0,309,7.5,2292,77,1253,57,0,4
2,0,79,1.9,493,14,128,55,1,1
2,0,545,11.5,2911,87,1717,21,0,5
4,0,459,7.0,1982,67,1091,43,1,4
3,1,225,4.0,1420,48,917,56,1,3
3,1,257,4.5,1705,57,912,55,1,3
2,0,134,4.0,773,35,449,28,0,2
3,1,516,10.2,2932,98,1547,31,1,5
0,0,82,1.7,558,16,284,29,0,1
4,0,452,7.2,1808,64,1090,45,0,4
3,1,521,9.0,2902,97,1701,37,1,5
0,0,457,6.3,2347,66,1082,22,1,4
2,0,31,1.1,585,11,208,50,0,1
3,1,47,2.0,476,14,125,39,1,1
2,0,229,5.7,1305,43,985,23,0,3
2,0,34,2.0,558,14,122,54,0,1
0,0,173,2.5,678,29,301,30,0,2
4,0,78,1.8,333,17,138,51,0,1
0,0,230,5.7,1254,52,989,34,0,3
1,0,565,10.6,2475,99,1603,51,0,5
3,1,172,2.8,1035,22,549,41,1,2
2,0,330,7.2,2363,77,1133,21,0,4
2,0,39,1.8,368,11,105,19,1,1
0,0,223,4.5,1311,56,695,33,0,3
0,0,404,7.4,2081,63,1352,44,1,4
4,0,151,2.4,1003,25,392,39,1,2
4,0,34,1.5,345,11,276,44,1,1
2,0,137,3.3,839,31,348,34,0,2
4,0,301,6.2,2053,75,1303,45,1,4
0,0,116,2.1,912,39,307,40,0,2
0,0,291,4.1,1474,46,827,32,0,3
3,1,84,1.4,501,16,284,56,0,1
3,1,134,2.5,1125,24,367,35,1,2
4,0,411,7.5,2169,72,1083,58,1,4
2,0,326,7.2,2243,73,1454,50,1,4
3,1,550,9.5,2916,91,1946,20,1,5
1,0,516,12.0,2406,82,1968,28,0,5
0,0,59,1.2,361,18,293,25,0,1
1,0,225,5.5,1526,44,875,50,0,3
0,0,41,1.1,389,15,136,53,1,1
1,0,183,4.1,1210,45,738,19,1,3
0,0,174,2.5,929,37,565,32,0,2
2,0,274,4.2,1781,52,934,28,1,3
2,0,166,2.8,1113,28,360,25,1,2
2,0,66,1.2,585,12,264,36,1,1
0,0,152,2.7,642,38,596,55,1,2
0,0,54,1.4,403,17,278,23,0,1
2,0,187,5.5,1754,55,711,50,0,3
1,0,216,6.0,1641,41,889,39,0,3
1,0,95,3.8,718,26,459,41,0,2
2,0,488,8.6,2447,84,2344,19,1,5
0,0,295,5.1,1483,45,748,27,0,3
4,0,136,3.2,818,33,404,42,1,2
2,0,471,7.9,2156,76,1324,54,0,4
3,1,121,3.2,651,34,596,39,1,2
3,1,75,1.2,409,13,281,18,1,1
3,1,220,5.2,1631,49,909,27,0,3
4,0,82,1.6,590,13,124,28,0,1
0,0,97,2.7,1018,37,428,41,1,2
4,0,388,6.6,2085,71,1150,45,0,4
1,0,529,8.7,2484,89,2189,39,0,5
0,0,584,10.0,2541,99,2391,49,0,5
0,0,529,8.1,2686,96,1924,35,1,5
0,0,227,5.1,1702,57,714,21,1,3
4,0,535,11.8,2858,99,2378,50,1,5
3,1,332,7.4,2149,68,1321,20,0,4
0,0,252,4.2,1439,45,667,50,0,3
2,0,125,2.5,678,34,465,31,1,2
2,0,97,3.3,751,39,412,36,0,2
0,0,540,10.8,2923,90,1886,40,1,5
2,0,320,7.2,2056,69,1226,52,0,4
0,0,176,3.6,1193,30,458,40,0,2
4,0,79,1.0,313,18,139,42,1,1
2,0,83,1.6,303,19,285,51,1,1
3,1,555,11.3,2528,90,1856,55,0,5
4,0,66,1.7,375,16,216,39,1,1
2,0,237,4.5,1368,42,868,24,0,3
4,0,497,9.7,2876,94,2076,18,1,5
0,0,516,11.1,2429,91,1796,53,1,5
2,0,219,5.2,1510,42,655,50,0,3
0,0,448,6.3,2044,71,1337,51,1,4
3,1,156,2.2,896,37,429,57,0,2
4,0,68,1.1,528,12,201,29,1,1
3,1,524,11.2,2417,90,2069,29,0,5
3,1,188,5.3,1281,45,974,35,1,3
4,0,443,7.4,2289,73,1026,33,1,4
2,0,52,1.6,385,19,234,24,1,1
1,0,228,4.2,1677,58,823,56,1,3
0,0,149,3.7,873,34,459,51,1,2
3,1,523,9.4,2583,92,1539,21,1,5
4,0,42,1.6,315,19,207,52,0,1
0,0,120,2.0,741,38,396,56,0,2
1,0,329,7.5,2277,72,1185,27,0,4
2,0,68,1.5,364,10,102,31,0,1
2,0,158,3.4,893,36,493,32,1,2
2,0,86,1.7,439,19,136,54,1,1
2,0,339,7.8,2102,71,1062,51,1,4
4,0,304,6.5,2375,79,1493,51,1,4
2,0,131,2.4,859,26,305,40,1,2
4,0,64,1.6,540,19,262,35,0,1
2,0,53,1.9,526,15,112,42,1,1
0,0,442,7.7,2067,69,1440,45,1,4
3,1,32,2.0,469,18,139,22,1,1
2,0,278,4.8,1238,48,851,43,0,3
2,0,540,8.4,2993,98,1540,49,0,5
0,0,595,11.3,2968,88,2366,30,1,5
0,0,35,1.5,467,10,158,58,1,1
0,0,225,5.4,1370,44,791,55,0,3
0,0,587,11.8,2431,90,1894,47,1,5
2,0,92,3.7,1124,27,524,44,1,2
0,0,46,1.1,487,17,208,23,1,1
1,0,153,2.8,935,25,578,37,0,2
3,1,368,6.6,1817,72,1406,27,0,4
2,0,51,1.6,509,11,113,29,0,1
0,0,279,5.2,1660,47,629,50,0,3
2,0,255,5.4,1738,42,826,21,1,3
4,0,193,5.7,1471,51,972,31,0,3
2,0,207,5.7,1582,52,692,38,1,3
3,1,539,11.9,2853,83,2007,55,1,5
1,0,151,2.4,1124,38,571,33,1,2
0,0,474,6.4,2109,68,1079,24,1,4
3,1,544,9.2,2936,83,2416,47,0,5
3,1,73,1.2,308,15,275,39,0,1
2,0,597,10.4,2984,91,1564,34,0,5
0,0,498,10.7,2738,94,1995,42,1,5
3,1,402,7.8,2014,79,1088,34,0,4
1,0,75,1.1,379,15,185,37,1,1
3,1,130,2.0,602,21,589,30,0,2
4,0,42,1.1,402,11,265,32,0,1
3,1,134,2.2,917,23,423,23,1,2
0,0,79,1.9,477,13,161,24,1,1
3,1,432,7.2,1822,63,1127,59,0,4
3,1,262,4.1,1287,52,997,36,1,3
4,0,473,6.4,2109,79,1300,23,0,4
0,0,202,4.7,1512,49,659,45,0,3
1,0,215,4.4,1407,41,991,47,1,3
1,0,151,3.7,1116,32,320,41,0,2
1,0,80,1.6,549,14,197,19,1,1
2,0,126,2.8,971,32,431,35,0,2
4,0,495,8.9,2920,84,2252,31,0,5
3,1,127,3.7,1153,35,314,37,0,2
2,0,88,1.3,327,11,262,22,1,1
0,0,69,1.6,463,16,146,27,1,1
1,0,100,3.3,961,21,433,25,1,2
2,0,301,6.5,2084,71,1421,29,1,4
0,0,78,1.7,455,15,207,37,0,1
0,0,163,3.1,620,21,419,23,1,2
1,0,539,9.3,2606,92,1990,41,1,5
0,0,278,4.6,1385,47,823,40,0,3
4,0,451,6.1,2108,76,1434,25,0,4
4,0,481,10.9,2752,86,2017,18,1,5
4,0,133,3.4,714,38,445,25,1,2
2,0,41,1.1,588,10,246,22,1,1
3,1,152,3.3,1175,29,461,42,0,2
1,0,553,8.4,2559,89,2471,51,1,5
3,1,402,6.9,2282,78,1397,40,1,4
1,0,555,9.5,2855,95,1565,24,1,5
3,1,499,9.6,2873,81,1805,52,0,5
2,0,101,3.2,603,28,417,43,1,2
1,0,433,6.8,2093,75,1300,32,1,4
1,0,133,2.0,1007,31,417,32,1,2
2,0,351,6.1,1941,79,1290,21,0,4
4,0,532,10.7,2556,83,2148,53,0,5
1,0,92,2.5,690,31,563,27,1,2
2,0,511,10.8,2712,97,2438,59,0,5
2,0,384,7.0,2185,72,1376,59,1,4
3,1,193,5.2,1318,49,626,32,0,3
4,0,132,3.8,649,25,368,41,1,2
4,0,360,7.3,1946,79,1164,50,1,4
3,1,159,2.3,1083,32,526,38,1,2
3,1,495,8.9,2855,91,2150,31,1,5
2,0,537,10.0,2720,83,1763,35,1,5
1,0,129,3.4,1059,27,580,36,0,2
3,1,132,3.8,636,28,529,53,1,2
2,0,37,1.4,369,18,295,19,0,1
4,0,524,8.9,2549,88,1730,20,0,5
1,0,425,6.9,2142,66,1130,19,0,4
1,0,64,1.7,585,13,107,53,1,1
3,1,573,10.8,2711,96,2118,33,0,5
0,0,45,1.7,302,16,191,57,0,1
2,0,564,11.7,2764,81,2133,37,0,5
1,0,162,3.5,761,36,338,51,1,2
4,0,451,6.5,2378,69,1341,44,1,4
1,0,30,1.3,479,16,253,35,1,1
4,0,202,5.0,1542,45,844,29,1,3
0,0,71,1.5,590,17,257,33,1,1
0,0,314,6.2,2205,63,1066,19,1,4
2,0,168,4.0,866,22,581,50,0,2
0,0,75,1.9,537,13,230,58,0,1
1,0,42,1.4,324,13,272,29,0,1
1,0,441,7.9,2332,78,1477,23,0,4
0,0,523,10.5,2460,99,1787,22,1,5
2,0,100,2.4,982,31,478,48,0,2
1,0,52,1.2,398,14,172,24,0,1
1,0,397,7.0,2352,77,1101,46,0,4
2,0,424,7.7,1863,65,1116,52,1,4
2,0,272,5.0,1655,45,686,19,0,3
2,0,201,4.0,1791,50,914,18,1,3
2,0,570,9.0,2613,98,2497,49,0,5
2,0,64,1.3,490,14,151,43,0,1
3,1,334,6.6,2394,68,1227,46,0,4
3,1,518,9.6,2954,93,2125,34,0,5
4,0,70,1.7,359,10,109,57,1,1
3,1,334,6.8,2000,77,1079,40,0,4
